recording_id,speaker_id,segment_id,type,text,segment_start,segment_end,clip_path
disf_filler_0,dataset,0,filler,अं,0.0,0.0,
disf_filler_1,dataset,1,filler,अँ,0.0,0.0,
disf_filler_2,dataset,2,filler,उम्,0.0,0.0,
disf_filler_3,dataset,3,filler,हम्,0.0,0.0,
disf_filler_4,dataset,4,filler,हम्म,0.0,0.0,
disf_filler_5,dataset,5,filler,उम्म,0.0,0.0,
disf_filler_6,dataset,6,filler,अह,0.0,0.0,
disf_filler_7,dataset,7,filler,ओके,0.0,0.0,
disf_filler_8,dataset,8,repetition,अ अ,0.0,0.0,
disf_filler_9,dataset,9,repetition,ह ह ह,0.0,0.0,
disf_filler_10,dataset,10,filler,ज़,0.0,0.0,
disf_filler_11,dataset,11,filler,हुह,0.0,0.0,
disf_filler_12,dataset,12,filler,ओह,0.0,0.0,
disf_filler_13,dataset,13,filler,उह,0.0,0.0,
disf_filler_14,dataset,14,repetition,हुं हुं,0.0,0.0,
disf_filler_15,dataset,15,filler,हह,0.0,0.0,
disf_filler_16,dataset,16,filler,आह,0.0,0.0,
disf_filler_17,dataset,17,repetition,उ उ,0.0,0.0,
disf_filler_18,dataset,18,filler,अं,0.0,0.0,
disf_filler_19,dataset,19,filler,अँ,0.0,0.0,
disf_filler_20,dataset,20,filler,उम्,0.0,0.0,
disf_filler_21,dataset,21,filler,उम्म,0.0,0.0,
disf_filler_22,dataset,22,filler,हूँ,0.0,0.0,
disf_filler_23,dataset,23,filler,हम्,0.0,0.0,
disf_filler_24,dataset,24,filler,हम्म,0.0,0.0,
disf_filler_25,dataset,25,filler,हम्म,0.0,0.0,
disf_filler_26,dataset,26,filler,अह,0.0,0.0,
disf_filler_27,dataset,27,filler,आं,0.0,0.0,
disf_filler_28,dataset,28,hesitation,…,0.0,0.0,
disf_filler_29,dataset,29,filler,अः,0.0,0.0,
disf_filler_30,dataset,30,hesitation,…,0.0,0.0,
disf_filler_31,dataset,31,filler,उह,0.0,0.0,
disf_filler_32,dataset,32,filler,उहं,0.0,0.0,
disf_repetition_0,dataset,0,repetition,मैं-मैं,0.0,0.0,
disf_repetition_1,dataset,1,repetition,वो-वो,0.0,0.0,
disf_repetition_2,dataset,2,repetition,ये-ये,0.0,0.0,
disf_repetition_3,dataset,3,repetition,जी-जी,0.0,0.0,
disf_repetition_4,dataset,4,repetition,उह उह,0.0,0.0,
disf_repetition_5,dataset,5,repetition,दो दो,0.0,0.0,
disf_repetition_6,dataset,6,filler,हम्म,0.0,0.0,
disf_repetition_6,dataset,6,filler,हम्म,0.0,0.0,
disf_repetition_6,dataset,6,repetition,हम्म हम्म,0.0,0.0,
disf_repetition_7,dataset,7,repetition,वो तो वो तो,0.0,0.0,
disf_repetition_8,dataset,8,repetition,हाँ-हाँ-हाँ-हाँ,0.0,0.0,
disf_repetition_9,dataset,9,repetition,हाँ यस सर – हाँ यस सर,0.0,0.0,
disf_repetition_10,dataset,10,repetition,आ रही आ रही,0.0,0.0,
disf_repetition_11,dataset,11,filler,हम्म,0.0,0.0,
disf_repetition_11,dataset,11,filler,हम्म,0.0,0.0,
disf_repetition_11,dataset,11,filler,हम्म,0.0,0.0,
disf_repetition_12,dataset,12,filler,हम्म,0.0,0.0,
disf_repetition_12,dataset,12,filler,हम्म,0.0,0.0,
disf_repetition_12,dataset,12,filler,हम्म,0.0,0.0,
disf_repetition_12,dataset,12,filler,हम्म,0.0,0.0,
disf_repetition_13,dataset,13,repetition,वहीं-वहीं-वहीं,0.0,0.0,
disf_repetition_14,dataset,14,repetition,आप-आप,0.0,0.0,
disf_repetition_15,dataset,15,repetition,नहीं-नहीं,0.0,0.0,
disf_repetition_16,dataset,16,repetition,नहीं-नहीं-नहीं,0.0,0.0,
disf_repetition_17,dataset,17,repetition,हैलो हैलो,0.0,0.0,
disf_repetition_18,dataset,18,repetition,सर-सर,0.0,0.0,
disf_repetition_19,dataset,19,repetition,जी-जी-जी,0.0,0.0,
disf_repetition_20,dataset,20,repetition,जी-हाँ-हाँ-जी-हाँ,0.0,0.0,
disf_repetition_21,dataset,21,repetition,हा हा,0.0,0.0,
disf_repetition_22,dataset,22,repetition,नहीं-नहीं-नहीं-नहीं,0.0,0.0,
disf_repetition_23,dataset,23,repetition,हाँ-हाँ-हम्-हम्,0.0,0.0,
disf_repetition_24,dataset,24,repetition,लेकिन लेकिन,0.0,0.0,
disf_repetition_25,dataset,25,repetition,"अच्छा- अच्छा अच्छा- अच्छा""",0.0,0.0,
disf_repetition_26,dataset,26,repetition,अच्छा अच्छा- अच्छ,0.0,0.0,
disf_repetition_27,dataset,27,repetition,जी जी जी जी जी जी,0.0,0.0,
disf_repetition_28,dataset,28,filler,हम्म,0.0,0.0,
disf_repetition_28,dataset,28,filler,हम्म,0.0,0.0,
disf_repetition_28,dataset,28,repetition,अच्छा अच्छा,0.0,0.0,
disf_repetition_28,dataset,28,repetition,हम्म हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,filler,हम्म,0.0,0.0,
disf_repetition_29,dataset,29,repetition,हम्म हम्म हम्म हम्म हम्म हम्म हम्म,0.0,0.0,
disf_repetition_30,dataset,30,repetition,नहीं नहीं नहीं नहीं नहीं नहीं नहीं,0.0,0.0,
disf_repetition_31,dataset,31,filler,उम्म,0.0,0.0,
disf_repetition_31,dataset,31,filler,उम्म,0.0,0.0,
disf_repetition_31,dataset,31,repetition,उम्म उम्म,0.0,0.0,
disf_repetition_32,dataset,32,repetition,मैंने मैंने,0.0,0.0,
disf_repetition_33,dataset,33,repetition,ओके ओके ओके,0.0,0.0,
disf_repetition_34,dataset,34,repetition,बिल्कुल बिल्कुल,0.0,0.0,
disf_repetition_35,dataset,35,repetition,ह ह ह ह ह,0.0,0.0,
disf_repetition_36,dataset,36,repetition,आ आ,0.0,0.0,
disf_repetition_37,dataset,37,repetition,बहुत बहुत,0.0,0.0,
disf_repetition_38,dataset,38,repetition,क्या-क्या,0.0,0.0,
disf_repetition_39,dataset,39,repetition,कभी- कभी,0.0,0.0,
disf_repetition_40,dataset,40,repetition,हां जी हां जी,0.0,0.0,
disf_repetition_41,dataset,41,repetition,अह अह अह,0.0,0.0,
disf_repetition_42,dataset,42,repetition,यस यस यस,0.0,0.0,
disf_repetition_43,dataset,43,repetition,राइट राइट,0.0,0.0,
disf_repetition_44,dataset,44,repetition,सारी सारी,0.0,0.0,
disf_repetition_45,dataset,45,repetition,ये ये ये,0.0,0.0,
disf_repetition_46,dataset,46,repetition,देखो देखो,0.0,0.0,
disf_repetition_47,dataset,47,repetition,बूँद बूँद,0.0,0.0,
disf_repetition_48,dataset,48,repetition,बिल्कुल बिल्कुल बिल्कुल,0.0,0.0,
disf_repetition_49,dataset,49,repetition,बहुत बढ़िया बहुत बढ़िया,0.0,0.0,
disf_repetition_50,dataset,50,repetition,किसी किसी किसी,0.0,0.0,
disf_repetition_51,dataset,51,filler,हां,0.0,0.0,
disf_repetition_51,dataset,51,repetition,जी जी जी,0.0,0.0,
disf_repetition_52,dataset,52,repetition,जी जी जी जी,0.0,0.0,
disf_repetition_53,dataset,53,repetition,मैं-मैं,0.0,0.0,
disf_repetition_54,dataset,54,repetition,तू-तू,0.0,0.0,
disf_repetition_55,dataset,55,repetition,वो-वो,0.0,0.0,
disf_repetition_56,dataset,56,repetition,ये-ये,0.0,0.0,
disf_repetition_57,dataset,57,repetition,हाँ-हाँ,0.0,0.0,
disf_repetition_58,dataset,58,repetition,जी-जी,0.0,0.0,
disf_repetition_59,dataset,59,repetition,नहीं-नहीं,0.0,0.0,
disf_repetition_60,dataset,60,repetition,सर-सार,0.0,0.0,
disf_repetition_61,dataset,61,repetition,आप-आप,0.0,0.0,
disf_repetition_62,dataset,62,repetition,वहीं-वहीं,0.0,0.0,
disf_repetition_63,dataset,63,repetition,अब- अब,0.0,0.0,
disf_repetition_64,dataset,64,repetition,हां-हां-हां ,0.0,0.0,
disf_repetition_65,dataset,65,filler,हम्म,0.0,0.0,
disf_repetition_65,dataset,65,filler,हम्म,0.0,0.0,
disf_repetition_65,dataset,65,filler,हम्म,0.0,0.0,
disf_repetition_66,dataset,66,repetition,हूँ हूँ,0.0,0.0,
disf_false_start_0,dataset,0,false_start,जा—,0.0,0.0,
disf_false_start_1,dataset,1,false_start,कर—,0.0,0.0,
disf_false_start_2,dataset,2,false_start,ले—,0.0,0.0,
disf_false_start_3,dataset,3,false_start,कह—,0.0,0.0,
disf_false_start_4,dataset,4,false_start,वो तो,0.0,0.0,
disf_false_start_5,dataset,5,false_start,तब तक हां,0.0,0.0,
disf_false_start_6,dataset,6,false_start,आप अ,0.0,0.0,
disf_false_start_7,dataset,7,false_start,बोव,0.0,0.0,
disf_false_start_8,dataset,8,false_start,अच्छ,0.0,0.0,
disf_false_start_9,dataset,9,false_start,बचन,0.0,0.0,
disf_false_start_10,dataset,10,false_start,ज-ज,0.0,0.0,
disf_false_start_11,dataset,11,repetition,मैंने मैंने,0.0,0.0,
disf_false_start_12,dataset,12,false_start,अच्-,0.0,0.0,
disf_false_start_13,dataset,13,false_start,बिल्-,0.0,0.0,
disf_false_start_14,dataset,14,false_start,लू—,0.0,0.0,
disf_false_start_15,dataset,15,repetition,ह ह ह,0.0,0.0,
disf_false_start_16,dataset,16,false_start,बिल,0.0,0.0,
disf_false_start_17,dataset,17,false_start,मम-,0.0,0.0,
disf_false_start_18,dataset,18,false_start,प-,0.0,0.0,
disf_false_start_19,dataset,19,false_start,न-,0.0,0.0,
disf_false_start_20,dataset,20,filler,हम्म,0.0,0.0,
disf_false_start_21,dataset,21,repetition,अभी आई अभी आई,0.0,0.0,
