disfluency_type,audio_segment_url,start_time (s),end_time (s),transcription_snippet,notes
filler,,0.0,0.0,अं,
filler,,0.0,0.0,अँ,
filler,,0.0,0.0,उम्,
filler,,0.0,0.0,हम्,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,उम्म,
filler,,0.0,0.0,अह,
filler,,0.0,0.0,ओके,
repetition,,0.0,0.0,अ अ,
repetition,,0.0,0.0,ह ह ह,
filler,,0.0,0.0,ज़,
filler,,0.0,0.0,हुह,
filler,,0.0,0.0,ओह,
filler,,0.0,0.0,उह,
repetition,,0.0,0.0,हुं हुं,
filler,,0.0,0.0,हह,
filler,,0.0,0.0,आह,
repetition,,0.0,0.0,उ उ,
filler,,0.0,0.0,अं,
filler,,0.0,0.0,अँ,
filler,,0.0,0.0,उम्,
filler,,0.0,0.0,उम्म,
filler,,0.0,0.0,हूँ,
filler,,0.0,0.0,हम्,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,अह,
filler,,0.0,0.0,आं,
hesitation,,0.0,0.0,…,
filler,,0.0,0.0,अः,
hesitation,,0.0,0.0,…,
filler,,0.0,0.0,उह,
filler,,0.0,0.0,उहं,
repetition,,0.0,0.0,मैं-मैं,
repetition,,0.0,0.0,वो-वो,
repetition,,0.0,0.0,ये-ये,
repetition,,0.0,0.0,जी-जी,
repetition,,0.0,0.0,उह उह,
repetition,,0.0,0.0,दो दो,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
repetition,,0.0,0.0,हम्म हम्म,
repetition,,0.0,0.0,वो तो वो तो,
repetition,,0.0,0.0,हाँ-हाँ-हाँ-हाँ,
repetition,,0.0,0.0,हाँ यस सर – हाँ यस सर,
repetition,,0.0,0.0,आ रही आ रही,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
repetition,,0.0,0.0,वहीं-वहीं-वहीं,
repetition,,0.0,0.0,आप-आप,
repetition,,0.0,0.0,नहीं-नहीं,
repetition,,0.0,0.0,नहीं-नहीं-नहीं,
repetition,,0.0,0.0,हैलो हैलो,
repetition,,0.0,0.0,सर-सर,
repetition,,0.0,0.0,जी-जी-जी,
repetition,,0.0,0.0,जी-हाँ-हाँ-जी-हाँ,
repetition,,0.0,0.0,हा हा,
repetition,,0.0,0.0,नहीं-नहीं-नहीं-नहीं,
repetition,,0.0,0.0,हाँ-हाँ-हम्-हम्,
repetition,,0.0,0.0,लेकिन लेकिन,
repetition,,0.0,0.0,"अच्छा- अच्छा अच्छा- अच्छा""",
repetition,,0.0,0.0,अच्छा अच्छा- अच्छ,
repetition,,0.0,0.0,जी जी जी जी जी जी,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
repetition,,0.0,0.0,अच्छा अच्छा,
repetition,,0.0,0.0,हम्म हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
repetition,,0.0,0.0,हम्म हम्म हम्म हम्म हम्म हम्म हम्म,
repetition,,0.0,0.0,नहीं नहीं नहीं नहीं नहीं नहीं नहीं,
filler,,0.0,0.0,उम्म,
filler,,0.0,0.0,उम्म,
repetition,,0.0,0.0,उम्म उम्म,
repetition,,0.0,0.0,मैंने मैंने,
repetition,,0.0,0.0,ओके ओके ओके,
repetition,,0.0,0.0,बिल्कुल बिल्कुल,
repetition,,0.0,0.0,ह ह ह ह ह,
repetition,,0.0,0.0,आ आ,
repetition,,0.0,0.0,बहुत बहुत,
repetition,,0.0,0.0,क्या-क्या,
repetition,,0.0,0.0,कभी- कभी,
repetition,,0.0,0.0,हां जी हां जी,
repetition,,0.0,0.0,अह अह अह,
repetition,,0.0,0.0,यस यस यस,
repetition,,0.0,0.0,राइट राइट,
repetition,,0.0,0.0,सारी सारी,
repetition,,0.0,0.0,ये ये ये,
repetition,,0.0,0.0,देखो देखो,
repetition,,0.0,0.0,बूँद बूँद,
repetition,,0.0,0.0,बिल्कुल बिल्कुल बिल्कुल,
repetition,,0.0,0.0,बहुत बढ़िया बहुत बढ़िया,
repetition,,0.0,0.0,किसी किसी किसी,
filler,,0.0,0.0,हां,
repetition,,0.0,0.0,जी जी जी,
repetition,,0.0,0.0,जी जी जी जी,
repetition,,0.0,0.0,मैं-मैं,
repetition,,0.0,0.0,तू-तू,
repetition,,0.0,0.0,वो-वो,
repetition,,0.0,0.0,ये-ये,
repetition,,0.0,0.0,हाँ-हाँ,
repetition,,0.0,0.0,जी-जी,
repetition,,0.0,0.0,नहीं-नहीं,
repetition,,0.0,0.0,सर-सार,
repetition,,0.0,0.0,आप-आप,
repetition,,0.0,0.0,वहीं-वहीं,
repetition,,0.0,0.0,अब- अब,
repetition,,0.0,0.0,हां-हां-हां ,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,हम्म,
repetition,,0.0,0.0,हूँ हूँ,
false_start,,0.0,0.0,जा—,
false_start,,0.0,0.0,कर—,
false_start,,0.0,0.0,ले—,
false_start,,0.0,0.0,कह—,
false_start,,0.0,0.0,वो तो,
false_start,,0.0,0.0,तब तक हां,
false_start,,0.0,0.0,आप अ,
false_start,,0.0,0.0,बोव,
false_start,,0.0,0.0,अच्छ,
false_start,,0.0,0.0,बचन,
false_start,,0.0,0.0,ज-ज,
repetition,,0.0,0.0,मैंने मैंने,
false_start,,0.0,0.0,अच्-,
false_start,,0.0,0.0,बिल्-,
false_start,,0.0,0.0,लू—,
repetition,,0.0,0.0,ह ह ह,
false_start,,0.0,0.0,बिल,
false_start,,0.0,0.0,मम-,
false_start,,0.0,0.0,प-,
false_start,,0.0,0.0,न-,
filler,,0.0,0.0,हम्म,
repetition,,0.0,0.0,अभी आई अभी आई,
false_start,,0.0,0.0,ऐह,
false_start,,0.0,0.0,क-,
false_start,,0.0,0.0,अरे,
false_start,,0.0,0.0,ओहो,
repetition,,0.0,0.0,वो वो,
false_start,,0.0,0.0,आ-,
false_start,,0.0,0.0,जैसे-अ वो,
repetition,,0.0,0.0,बग बग बग,
false_start,,0.0,0.0,मु—,
repetition,,0.0,0.0,बस बस,
false_start,,0.0,0.0,"मुझे नहीं, मुझे लगता है",
false_start,,0.0,0.0,सु—,
false_start,,0.0,0.0,बन—,
false_start,,0.0,0.0,में—,
false_start,,0.0,0.0,अ—,
false_start,,0.0,0.0,म—,
false_start,,0.0,0.0,त—,
false_start,,0.0,0.0,व—,
false_start,,0.0,0.0,नही—,
false_start,,0.0,0.0,सर—,
false_start,,0.0,0.0,पर—,
false_start,,0.0,0.0,काम क—,
false_start,,0.0,0.0,हा ओ,
prolongation,,0.0,0.0,अच्छ्छ्छा,
filler,,0.0,0.0,हम्म,
prolongation,,0.0,0.0,आाा,
repetition,,0.0,0.0,रे रे,
prolongation,,0.0,0.0,अह,
repetition,,0.0,0.0,नी नी नी,
repetition,,0.0,0.0,अ अ अ अ,
prolongation,,0.0,0.0,रुकोओओ,
filler,,0.0,0.0,ना,
filler,,0.0,0.0,हां,
elongation,,0.0,0.0,नहींईईई,
elongation,,0.0,0.0,हाँआआआ,
repetition,,0.0,0.0,हूँ हूँ हूँ हूँ,
repetition,,0.0,0.0,हुं हुं हुं हुं हुं हुं,
repetition,,0.0,0.0,हूँ हूँ हूँ हूँ हूँ हूँ हूँ,
prolongation,,0.0,0.0,अच्छ्छ्छा,
filler,,0.0,0.0,हम्म,
prolongation,,0.0,0.0,आाा,
prolongation,,0.0,0.0,हाँाँाँ,
prolongation,,0.0,0.0,ओोो,
elongation,,0.0,0.0,ईईई,
elongation,,0.0,0.0,रेेे,
elongation,,0.0,0.0,अरेेे,
elongation,,0.0,0.0,हांंं,
elongation,,0.0,0.0,उंंं,
elongation,,0.0,0.0,आंंं,
prolongation,,0.0,0.0,अह्ह्ह,
self_correction,,0.0,0.0,कल—,
self_correction,,0.0,0.0,नहीं—,
self_correction,,0.0,0.0,परसों—,
self_correction,,0.0,0.0,माफ़—,
self_correction,,0.0,0.0,नहीं तो हां तो ये,
filler,,0.0,0.0,हम्म,
filler,,0.0,0.0,मतलब,
self_correction,,0.0,0.0,ये तो बाकी तो,
self_correction,,0.0,0.0,मो मा में महाराष्ट्र,
repetition,,0.0,0.0,है है,
self_correction,,0.0,0.0,अ पे से,
self_correction,,0.0,0.0,बट अगर मैं आपको फिर भी अगर बताऊँ,
filler,,0.0,0.0,मतलब,
self_correction,,0.0,0.0,कुछ ना कुछ तो मेरे तो,
filler,,0.0,0.0,ये,
self_correction,,0.0,0.0,मैं स्कूल__ कॉलेज,
self_correction,,0.0,0.0,मैं सोच रहा हूँ नहीं,
self_correction,,0.0,0.0,आज__कल,
filler,,0.0,0.0,मतलब,
filler,,0.0,0.0,मतलब,
repetition,,0.0,0.0,आठ आठ,
self_correction,,0.0,0.0,जो भी तरीका जो भी है,
repetition,,0.0,0.0,हाँ हाँ,
self_correction,,0.0,0.0,वो ना वो जो,
self_correction,,0.0,0.0,हाँ हूँ वो तो है वो तो है,
self_correction,,0.0,0.0,हाँ बहुत हाँ वो भी है,
self_correction,,0.0,0.0,मैंने सुना है__नहीं,
self_correction,,0.0,0.0,यह आसान काम है नहीं कठिन,
self_correction,,0.0,0.0,बचा- बताना,
self_correction,,0.0,0.0,बिल बिलकुल,
repetition,,0.0,0.0,ब ब,
self_correction,,0.0,0.0,चोर मा चोर,
self_correction,,0.0,0.0,आज—,
self_correction,,0.0,0.0,अभी—,
self_correction,,0.0,0.0,नहीं तो—,
self_correction,,0.0,0.0,मेरा—नहीं—,
self_correction,,0.0,0.0,हाँ—नहीं—,
self_correction,,0.0,0.0,ठीक—नहीं—,
self_correction,,0.0,0.0,वो—नहीं—,
self_correction,,0.0,0.0,आह—नहीं—,
self_correction,,0.0,0.0,रहने दो—,
filler,,0.0,0.0,मतलब,
